,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
0,پالايش,صندوق پالايشي يکم-سهام,99235,137814592,12028014271710,80100,88110,88110,8010,10.0,87280,7180,8.96,83000,88110,1399-11-20
1,دارا يكم,صندوق واسطه گري مالي يكم-سهام,87185,75672355,11404767449520,139970,153960,153960,13990,9.99,150710,10740,7.67,143750,153960,1399-11-20
2,شستا,سرمايه گذاري تامين اجتماعي,44196,172698757,3846594364970,21620,22700,22280,660,3.05,22270,650,3.01,21150,22700,1399-11-20
3,سپيدار,سپيدار سيستم آسيا,37882,335184,20362763184,57859,60751,60751,2892,5.0,58937,1078,1.86,60751,60751,1399-11-20
4,خودرو,ايران‌ خودرو,34569,1192787774,3140183673670,2570,2690,2670,100,3.89,2630,60,2.33,2530,2690,1399-11-20
5,خساپا,سايپا,32844,1817304289,4115502187800,2170,2270,2270,100,4.61,2260,90,4.15,2210,2270,1399-11-20
6,شپنا,پالايش نفت اصفهان,32278,402136350,4701210320830,11170,11720,11720,550,4.92,11690,520,4.66,11230,11720,1399-11-20
7,آوا,صندوق س.سهام آواي معيار-س,28613,313332292,2637609501092,8501,9020,8230,-271,-3.19,8418,-83,-0.98,7905,9100,1399-11-20
8,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,25758,764355413,2365306793080,3070,3140,3110,40,1.3,3090,20,0.65,2970,3190,1399-11-20
9,بركت,گروه دارويي بركت,23633,79334852,1809782739590,21950,23040,23040,1090,4.97,22810,860,3.92,22000,23040,1399-11-20
10,شتران,پالايش نفت تهران,23131,225639526,2031673369570,8690,9120,9020,330,3.8,9000,310,3.57,8430,9120,1399-11-20
11,وكبهمن,مديريت سرمايه گذاري كوثربهمن,22238,18357892,247011876592,14027,14270,13326,-701,-5.0,13455,-572,-4.08,13326,14270,1399-11-20
12,فملي,ملي‌ صنايع‌ مس‌ ايران‌,20542,193565264,2013748557650,9930,10420,10420,490,4.93,10400,470,4.73,10100,10420,1399-11-20
13,وسپهر,سرمايه گذاري مالي سپهرصادرات,19148,70997629,717491688887,10243,10300,10101,-142,-1.39,10106,-137,-1.34,10100,10300,1399-11-20
14,بوعلي,پتروشيمي بوعلي سينا,17426,6711959,292974815100,43750,44900,43130,-620,-1.42,43650,-100,-0.23,42370,44900,1399-11-20
15,سبهان,سيمان‌ بهبهان‌,17095,11915216,1871466225980,149920,157410,157410,7490,5.0,157070,7150,4.77,151120,157410,1399-11-20
16,وتجارت,بانك تجارت,16493,472718140,1340640218570,2810,2890,2870,60,2.14,2840,30,1.07,2710,2900,1399-11-20
17,زملارد,كشاورزي و دامپروري ملارد شير,16037,5787828,208156668059,35363,37000,35650,287,0.81,35965,602,1.7,34300,37130,1399-11-20
18,شاروم,پتروشيمي اروميه,15805,11877312,222550789870,18971,19700,18230,-741,-3.91,18737,-234,-1.23,18050,19850,1399-11-20
19,فولاد,فولاد مباركه اصفهان,14612,158299571,1795485045790,10810,11350,11350,540,5.0,11340,530,4.9,11150,11350,1399-11-20
20,غزر,صنعتي زر ماكارون,14338,11402429,319865156260,29340,29000,27880,-1460,-4.98,28050,-1290,-4.4,27880,29790,1399-11-20
21,كزغال,زغال سنگ پروده طبس,14178,1758278,39816205310,21567,22645,22645,1078,5.0,22343,776,3.6,22645,22645,1399-11-20
22,حكشتي,كشتيراني جمهوري اسلامي ايران,14101,62982932,1286430395050,21000,21330,20100,-900,-4.29,20430,-570,-2.71,19950,21700,1399-11-20
23,ثبهساز,بهساز كاشانه تهران,13999,109272551,271472094530,2490,2610,2460,-30,-1.2,2480,-10,-0.4,2380,2610,1399-11-20
24,قثابت,قند ثابت‌ خراسان‌,13357,27037112,1748288549400,63420,60450,66250,2830,4.46,63420,0,0.0,60450,66590,1399-11-20
25,سيتا,سرمايه گذاري سيمان تامين,13271,32480242,488190092020,15440,15490,15020,-420,-2.72,15030,-410,-2.66,15000,15490,1399-11-20
26,ثاميد,توسعه و عمران اميد,13057,113033814,195737790910,1760,1800,1720,-40,-2.27,1730,-30,-1.7,1680,1810,1399-11-20
27,وبصادر,بانك صادرات ايران,12528,377522722,982789104010,2520,2640,2620,100,3.97,2600,80,3.17,2490,2640,1399-11-20
28,ذوب,سهامي ذوب آهن  اصفهان,12445,204727425,853933806986,4037,4218,4212,175,4.33,4171,134,3.32,3993,4238,1399-11-20
